time(s),dP1(Pa)
1519510905.736898,  0.759399
1519510905.766121,  0.735668
1519510905.795352,  0.711937
1519510905.824579,  0.664474
1519510905.853803,  0.735668
1519510905.883039,  0.664474
1519510905.912257,  0.664474
1519510905.941553,  0.688206
1519510905.970787,  0.711937
1519510906.000015,  0.711937
1519510906.029237,  0.711937
1519510906.058467,  0.711937
1519510906.087699,  0.688206
1519510906.116945,  0.688206
1519510906.146167,  0.688206
1519510906.175379,  0.617012
1519510906.204591,  0.688206
1519510906.233814,  0.688206
1519510906.263036,  0.593281
1519510906.292259,  0.711937
1519510906.321521,  0.688206
1519510906.350775,  0.688206
1519510906.380000,  0.664474
1519510906.409217,  0.735668
1519510906.438437,  0.688206
1519510906.467657,  0.640743
1519510906.496875,  0.735668
1519510906.526093,  0.664474
1519510906.555318,  0.640743
1519510906.584525,  0.640743
1519510906.613744,  0.735668
1519510906.642974,  0.688206
1519510906.672179,  0.664474
1519510906.701386,  0.664474
1519510906.730607,  0.759399
1519510906.759830,  0.688206
1519510906.789103,  0.617012
1519510906.818344,  0.711937
1519510906.847569,  0.759399
1519510906.876784,  0.711937
1519510906.906004,  0.735668
1519510906.935228,  0.617012
1519510906.964440,  0.664474
1519510906.993659,  0.640743
1519510907.022872,  0.759399
1519510907.052089,  0.664474
1519510907.081310,  0.735668
1519510907.110521,  0.759399
1519510907.139748,  0.688206
1519510907.168966,  0.711937
1519510907.198181,  0.711937
1519510907.227394,  0.664474
1519510907.256603,  0.735668
1519510907.285808,  0.735668
1519510907.315045,  0.664474
1519510907.344281,  0.688206
1519510907.373511,  0.735668
1519510907.402752,  0.664474
1519510907.431979,  0.640743
1519510907.461233,  0.664474
1519510907.490466,  0.664474
1519510907.519697,  0.664474
1519510907.548906,  0.664474
1519510907.578120,  0.711937
1519510907.607337,  0.688206
1519510907.636556,  0.711937
1519510907.665771,  0.664474
1519510907.694998,  0.688206
1519510907.724216,  0.735668
1519510907.753436,  0.664474
1519510907.782653,  0.688206
1519510907.811872,  0.640743
1519510907.841101,  0.735668
1519510907.870318,  0.735668
1519510907.899543,  0.711937
1519510907.928767,  0.735668
1519510907.957990,  0.664474
1519510907.987214,  0.711937
1519510908.016432,  0.617012
1519510908.045654,  0.688206
1519510908.074885,  0.688206
1519510908.104107,  0.688206
1519510908.133332,  0.664474
1519510908.162553,  0.711937
1519510908.191783,  0.783131
1519510908.221006,  0.664474
1519510908.250218,  0.688206
1519510908.279505,  0.640743
1519510908.308752,  0.664474
1519510908.337977,  0.688206
1519510908.367197,  0.688206
1519510908.396412,  0.735668
1519510908.425627,  0.735668
1519510908.454850,  0.688206
1519510908.484072,  0.664474
1519510908.513297,  0.688206
1519510908.542527,  0.735668
1519510908.571758,  0.759399
1519510908.600984,  0.711937
1519510908.630205,  0.711937
1519510908.659418,  0.688206
1519510908.688634,  0.711937
1519510908.717854,  0.711937
1519510908.747082,  0.688206
1519510908.776309,  0.640743
1519510908.805527,  0.688206
1519510908.834749,  0.688206
1519510908.863966,  0.711937
1519510908.893189,  0.688206
1519510908.922411,  0.711937
1519510908.951624,  0.688206
1519510908.980843,  0.783131
1519510909.010072,  0.664474
1519510909.039316,  0.711937
1519510909.068536,  0.759399
1519510909.097764,  0.735668
1519510909.126979,  0.735668
1519510909.156188,  0.688206
1519510909.185403,  0.688206
1519510909.214611,  0.735668
1519510909.243826,  0.688206
1519510909.273042,  0.688206
1519510909.302254,  0.664474
1519510909.331481,  0.735668
1519510909.360741,  0.688206
1519510909.389967,  0.688206
1519510909.419188,  0.735668
1519510909.448410,  0.617012
1519510909.477622,  0.688206
1519510909.506833,  0.688206
1519510909.536051,  0.688206
1519510909.565265,  0.593281
1519510909.594484,  0.711937
1519510909.623698,  0.711937
1519510909.652920,  0.617012
1519510909.682136,  0.640743
1519510909.711356,  0.711937
1519510909.740575,  0.735668
1519510909.769801,  0.688206
1519510909.799064,  0.664474
1519510909.828296,  0.735668
1519510909.857503,  0.688206
1519510909.886710,  0.664474
1519510909.915931,  0.664474
1519510909.945143,  0.711937
1519510909.974359,  0.711937
1519510910.003574,  0.688206
1519510910.032788,  0.711937
1519510910.062004,  0.664474
1519510910.091233,  0.711937
1519510910.120444,  0.640743
1519510910.149662,  0.617012
1519510910.178897,  0.664474
1519510910.208113,  0.688206
1519510910.237325,  0.664474
1519510910.266538,  0.688206
1519510910.295761,  0.664474
1519510910.324986,  0.711937
1519510910.354218,  0.688206
1519510910.383483,  0.640743
1519510910.412708,  0.664474
1519510910.441920,  0.640743
1519510910.471151,  0.688206
1519510910.500373,  0.688206
1519510910.529594,  0.759399
1519510910.558806,  0.735668
1519510910.588023,  0.640743
1519510910.617242,  0.664474
1519510910.646455,  0.640743
1519510910.675674,  0.735668
1519510910.704893,  0.617012
1519510910.734117,  0.688206
1519510910.763336,  0.688206
1519510910.792570,  0.664474
1519510910.821787,  0.664474
1519510910.851039,  0.735668
1519510910.880255,  0.617012
1519510910.909472,  0.735668
1519510910.938689,  0.688206
1519510910.967898,  0.688206
1519510910.997116,  0.735668
1519510911.026340,  0.664474
1519510911.055560,  0.640743
1519510911.084789,  0.711937
1519510911.114035,  0.759399
1519510911.143279,  0.688206
1519510911.172520,  0.688206
1519510911.201749,  0.711937
1519510911.230990,  0.688206
1519510911.260227,  0.664474
1519510911.289482,  0.664474
1519510911.318733,  0.735668
1519510911.347968,  0.711937
1519510911.377221,  0.711937
1519510911.406469,  0.688206
1519510911.435713,  0.711937
1519510911.464952,  0.711937
1519510911.494191,  0.640743
1519510911.523438,  0.640743
1519510911.552687,  0.664474
1519510911.581937,  0.664474
1519510911.611187,  0.640743
1519510911.640434,  0.711937
1519510911.669673,  0.664474
1519510911.698931,  0.664474
1519510911.728177,  0.688206
1519510911.757421,  0.664474
1519510911.786672,  0.688206
1519510911.815919,  0.711937
1519510911.845154,  0.735668
1519510911.874400,  0.640743
1519510911.903643,  0.711937
1519510911.932897,  0.664474
1519510911.962113,  0.688206
1519510911.991348,  0.711937
1519510912.020574,  0.735668
1519510912.049793,  0.664474
1519510912.079014,  0.711937
1519510912.108241,  0.711937
1519510912.137476,  0.759399
1519510912.166713,  0.711937
1519510912.195942,  0.688206
1519510912.225164,  0.711937
1519510912.254392,  0.664474
1519510912.283610,  0.688206
1519510912.312826,  0.711937
1519510912.342036,  0.640743
1519510912.371252,  0.664474
1519510912.400467,  0.664474
1519510912.429678,  0.617012
1519510912.458903,  0.759399
1519510912.488118,  0.711937
1519510912.517339,  0.664474
1519510912.546556,  0.711937
1519510912.575782,  0.735668
1519510912.605005,  0.640743
1519510912.634239,  0.735668
1519510912.663469,  0.759399
1519510912.692699,  0.664474
1519510912.721924,  0.664474
1519510912.751147,  0.688206
1519510912.780444,  0.664474
1519510912.809700,  0.664474
1519510912.838923,  0.688206
1519510912.868150,  0.711937
1519510912.897379,  0.759399
1519510912.926607,  0.664474
1519510912.955827,  0.688206
1519510912.985050,  0.711937
1519510913.014270,  0.664474
1519510913.043487,  0.664474
1519510913.072708,  0.711937
1519510913.101924,  0.688206
1519510913.131149,  0.640743
1519510913.160358,  0.688206
1519510913.189575,  0.664474
1519510913.218799,  0.593281
1519510913.248016,  0.664474
1519510913.277241,  0.759399
1519510913.306466,  0.711937
1519510913.335685,  0.640743
1519510913.364900,  0.688206
1519510913.394124,  0.688206
